@relation Noise
@attribute 'HWRatio' numeric
@attribute 'BRatio' numeric
@attribute 'VV33' numeric
@attribute 'VV66' numeric
@attribute 'HV20' numeric
@attribute 'HV40' numeric
@attribute 'HV60' numeric
@attribute 'HV80' numeric
@attribute 'Type' {'semibreve whole-note', 'noise'}
@data
0.6666666666666666,0.61000000000000000,2,2,2,2,2,2,'semibreve whole-note'
0.6562500000000000,0.61607142857142860,2,2,2,2,2,2,'semibreve whole-note'
0.5714285714285714,0.53968253968253970,2,2,2,2,2,2,'semibreve whole-note'
0.6500000000000000,0.58076923076923080,2,2,1,2,2,2,'semibreve whole-note'
0.6666666666666666,0.56802721088435370,2,2,2,2,2,2,'semibreve whole-note'
0.6363636363636364,0.58766233766233770,2,2,2,2,2,2,'semibreve whole-note'
0.6818181818181818,0.56363636363636360,2,2,2,2,2,2,'semibreve whole-note'
0.6521739130434783,0.59130434782608700,2,2,2,2,2,2,'semibreve whole-note'
0.6666666666666666,0.58503401360544220,2,2,2,2,2,2,'semibreve whole-note'
0.6111111111111112,0.57070707070707070,2,2,2,2,2,2,'semibreve whole-note'
0.6666666666666666,0.58593750000000000,2,2,2,2,2,2,'semibreve whole-note'
0.6250000000000000,0.59444444444444440,2,2,2,2,2,1,'semibreve whole-note'
0.6666666666666666,0.57812500000000000,2,2,2,2,2,2,'semibreve whole-note'
0.6521739130434783,0.61159420289855070,2,2,2,2,2,1,'semibreve whole-note'
0.7272727272727273,0.57670454545454540,2,2,2,2,2,2,'semibreve whole-note'
0.6818181818181818,0.59393939393939400,2,2,2,2,2,1,'semibreve whole-note'
0.6956521739130435,0.58967391304347830,2,2,2,2,2,2,'semibreve whole-note'
0.6818181818181818,0.59090909090909090,2,2,2,2,2,1,'semibreve whole-note'
0.6818181818181818,0.62121212121212120,2,2,2,2,2,2,'semibreve whole-note'
0.6363636363636364,0.58441558441558440,2,2,2,2,2,2,'semibreve whole-note'
0.6363636363636364,0.57467532467532470,2,2,2,2,2,2,'semibreve whole-note'
0.6363636363636364,0.59740259740259740,2,2,1,2,2,2,'semibreve whole-note'
0.6818181818181818,0.58787878787878790,2,2,2,2,2,2,'semibreve whole-note'
0.5000000000000000,0.69008264462809920,2,2,2,2,2,2,'semibreve whole-note'
0.5600000000000000,0.65428571428571420,2,2,2,2,2,2,'semibreve whole-note'
0.6363636363636364,0.49783549783549785,2,2,2,2,2,2,'semibreve whole-note'
0.7407407407407407,0.56851851851851850,2,2,2,2,2,2,'semibreve whole-note'
0.6206896551724138,0.49808429118773945,2,2,2,2,2,2,'semibreve whole-note'
0.7096774193548387,0.54398826979472140,2,2,2,2,2,1,'semibreve whole-note'
0.7000000000000000,0.55714285714285720,2,2,2,2,2,2,'semibreve whole-note'
0.6666666666666666,0.58539944903581260,2,2,2,2,2,2,'semibreve whole-note'
0.6571428571428571,0.59254658385093170,2,2,2,2,2,2,'semibreve whole-note'
0.6486486486486487,0.57770270270270270,2,2,2,2,2,2,'semibreve whole-note'
0.7307692307692307,0.53036437246963560,2,2,2,2,2,2,'semibreve whole-note'
0.7037037037037037,0.53411306042884990,2,2,2,2,2,2,'semibreve whole-note'
0.7142857142857143,0.47678571428571430,2,2,2,2,2,2,'semibreve whole-note'
0.6666666666666666,0.47166666666666670,2,2,2,2,2,2,'semibreve whole-note'
0.6451612903225806,0.49193548387096775,2,2,2,2,2,2,'semibreve whole-note'
0.7037037037037037,0.61598440545808960,2,2,2,2,2,2,'semibreve whole-note'
0.6666666666666666,0.63168724279835390,2,2,2,2,2,2,'semibreve whole-note'
0.7037037037037037,0.57115009746588700,2,2,2,2,2,2,'semibreve whole-note'
0.6129032258064516,0.52631578947368420,2,2,2,2,2,2,'semibreve whole-note'
0.6250000000000000,0.54843750000000000,2,2,2,2,2,2,'semibreve whole-note'
0.6250000000000000,0.51875000000000000,2,2,2,2,2,2,'semibreve whole-note'
0.6785714285714286,0.56578947368421050,2,2,2,2,2,2,'semibreve whole-note'
0.6428571428571429,0.57341269841269840,2,2,2,2,2,2,'semibreve whole-note'
0.6206896551724138,0.57854406130268200,2,2,2,2,2,2,'semibreve whole-note'
0.6923076923076923,0.55769230769230770,2,2,2,2,2,2,'semibreve whole-note'
0.7307692307692307,0.62955465587044530,2,2,2,2,2,2,'semibreve whole-note'
0.6785714285714286,0.61466165413533840,2,2,2,2,2,2,'semibreve whole-note'
1.2222222222222223,0.86868686868686870,1,1,1,1,1,1,'noise'
3.8333333333333335,0.57246376811594200,2,2,1,1,1,1,'noise'
2.8750000000000000,0.59239130434782600,1,1,1,1,1,1,'noise'
1.1666666666666667,0.66666666666666660,1,1,1,1,1,1,'noise'
1.6250000000000000,0.51923076923076930,2,2,1,2,2,2,'noise'
1.6250000000000000,0.58653846153846160,3,2,1,1,1,2,'noise'
1.6250000000000000,0.70192307692307690,1,1,1,1,1,2,'noise'
1.7500000000000000,0.68750000000000000,2,4,2,2,2,2,'noise'
1.7500000000000000,0.60714285714285710,1,1,1,1,1,2,'noise'
1.7500000000000000,0.68750000000000000,2,4,1,2,1,1,'noise'
1.4444444444444444,0.63247863247863250,3,1,2,1,1,2,'noise'
1.7500000000000000,0.66071428571428570,2,1,1,1,1,2,'noise'
1.0000000000000000,0.62500000000000000,1,2,1,2,2,1,'noise'
1.7142857142857142,0.76190476190476190,2,2,2,1,1,1,'noise'
1.5000000000000000,0.61458333333333340,3,3,2,2,2,2,'noise'
2.0000000000000000,0.70833333333333340,1,1,1,1,2,2,'noise'
1.4444444444444444,0.64957264957264960,2,1,2,2,2,2,'noise'
1.5000000000000000,0.73958333333333340,1,3,1,2,2,2,'noise'
1.2222222222222223,0.66666666666666660,2,1,2,2,2,1,'noise'
1.3750000000000000,0.65909090909090910,3,3,1,1,2,2,'noise'
1.7142857142857142,0.67857142857142860,1,1,1,1,2,2,'noise'
1.6250000000000000,0.60576923076923070,2,2,2,2,2,2,'noise'
1.5000000000000000,0.62500000000000000,1,1,1,1,2,2,'noise'
1.6250000000000000,0.66346153846153840,3,3,2,2,2,2,'noise'
1.6250000000000000,0.64423076923076930,3,3,1,2,2,2,'noise'
1.8571428571428572,0.69230769230769230,1,1,1,1,1,2,'noise'
1.6250000000000000,0.72115384615384610,2,2,2,2,2,2,'noise'
1.4444444444444444,0.65811965811965810,4,1,2,2,2,2,'noise'
1.4444444444444444,0.67521367521367530,3,1,2,2,2,2,'noise'
1.6250000000000000,0.66346153846153840,3,3,1,1,1,2,'noise'
1.6250000000000000,0.70192307692307690,3,3,1,1,1,2,'noise'
1.5000000000000000,0.62500000000000000,2,1,1,1,2,2,'noise'
1.3333333333333333,0.61111111111111120,3,2,1,1,2,2,'noise'
1.2000000000000000,0.61666666666666670,2,2,2,2,2,2,'noise'
1.3333333333333333,0.64814814814814810,2,1,2,1,1,1,'noise'
1.7142857142857142,0.65476190476190480,1,1,1,1,2,2,'noise'
1.4444444444444444,0.58974358974358980,2,2,2,2,2,2,'noise'
1.6250000000000000,0.64423076923076930,2,3,2,2,1,2,'noise'
1.0000000000000000,0.56250000000000000,2,1,1,2,2,2,'noise'
1.6250000000000000,0.70192307692307690,2,3,2,2,2,2,'noise'
1.6250000000000000,0.63461538461538460,2,3,2,2,1,2,'noise'
1.6250000000000000,0.65384615384615390,1,1,1,1,2,2,'noise'
1.3333333333333333,0.68518518518518520,3,1,2,1,1,2,'noise'
1.3333333333333333,0.68518518518518520,3,2,1,2,2,2,'noise'
1.8571428571428572,0.68131868131868130,1,2,2,1,2,2,'noise'
1.4444444444444444,0.60683760683760680,3,1,1,2,2,2,'noise'
1.6250000000000000,0.70192307692307690,1,1,1,1,2,2,'noise'
1.6250000000000000,0.72115384615384610,2,2,2,2,2,2,'noise'
0.9166666666666666,0.46969696969696970,2,2,2,2,2,1,'noise'
1.000000000000000,0.413223140495867800,2,2,2,2,2,1,'noise'
